"standard","outcome","dok","scenario_id","scenario","question","option_a","option_b","option_c","option_d","answer"
"ATP Control Structures","ATP Algorithmic Thinking and Programming","low","","","A loop is:","A block that runs the code inside it more than once","A block that runs only when a condition is true","A named container for a value","An image in the game","A"
"ATP Control Structures","ATP Algorithmic Thinking and Programming","high","","","`for index from 0 to 5` runs how many times?","Six","Five","Four","It depends on the code inside","A"
"ATP Control Structures","ATP Algorithmic Thinking and Programming","high","","","`for index from 0 to 3` sets x to (10 + index * 20). The x values are:","10, 30, 50, 70","10, 20, 30, 40","0, 20, 40, 60","10, 30, 50","A"
"ATP Control Structures","ATP Algorithmic Thinking and Programming","high","","","What can `for index` do that `repeat` cannot?","Tell you which pass you are on, so you can use the count","Run code more than once","Run forever","Check a condition","A"
"ATP Control Structures","ATP Algorithmic Thinking and Programming","low","","","A `forever` loop:","Never stops while the game is running","Runs exactly once","Runs until a condition is false","Runs a set number of times","A"
"ATP Control Structures","ATP Algorithmic Thinking and Programming","high","","","A `while` loop keeps going:","As long as its condition is true, checked before every pass","Exactly ten times","Until the game ends","Only once","A"
"ATP Control Structures","ATP Algorithmic Thinking and Programming","high","","","This never ends: `set timer to 5`, `while timer > 0: pause 100`. Why?","Nothing inside the loop changes the timer, so the condition stays true","The pause is too short","A while loop cannot use a variable","The timer should start at 0","A"
"ATP Control Structures","ATP Algorithmic Thinking and Programming","high","","","`set x to 10`, then `while x > 10: change x by -1`. How many times does the loop run?","Zero, because the condition is already false on the first check","Ten","One","It runs forever","A"
"ATP Control Structures","ATP Algorithmic Thinking and Programming","high","","","A `repeat 3 times` loop contains a `for index from 0 to 4` loop that spawns one sprite. How many sprites total?","15","8","12","7","A"
"ATP Control Structures","ATP Algorithmic Thinking and Programming","high","","","A loop inside another loop is called:","A nested loop","A double loop","A recursive loop","A paired loop","A"
"ATP Control Structures","ATP Algorithmic Thinking and Programming","high","","","In a nested loop, the inner loop:","Runs completely, start to finish, every time the outer loop goes around once","Runs once for the whole outer loop","Runs only on the last outer pass","Runs at the same time as the outer loop","A"
"ATP Control Structures","ATP Algorithmic Thinking and Programming","high","","","A formation of 4 rows with 6 sprites in each row is best built with:","Two loops, one inside the other","One loop that runs 24 times","24 separate spawn blocks","A while loop","A"
"ATP Control Structures","ATP Algorithmic Thinking and Programming","high","","","`remainder of 9 ÷ 4` is:","1","2","3","0","A"
"ATP Control Structures","ATP Algorithmic Thinking and Programming","high","","","`remainder of 7 ÷ 10` is:","7","0","1","0.7","A"
"ATP Control Structures","ATP Algorithmic Thinking and Programming","high","","","`remainder of 20 ÷ 5` is:","0","4","5","1","A"
"ATP Control Structures","ATP Algorithmic Thinking and Programming","high","","","To make something happen every 6th time, the condition is:","remainder of count ÷ 6 = 0","remainder of count ÷ 6 = 6","count > 6","count = 6","A"
"ATP Control Structures","ATP Algorithmic Thinking and Programming","high","","","`remainder of index ÷ 2 = 0` is true when index is:","Even","Odd","Greater than 2","A multiple of 4","A"
"ATP Control Structures","ATP Algorithmic Thinking and Programming","low","","","An `if` block:","Runs the code inside only when its condition is true","Always runs the code inside","Repeats the code inside","Ends the game","A"
"ATP Control Structures","ATP Algorithmic Thinking and Programming","high","","","In an if / else block, how many branches run on a single pass?","Exactly one","Both","Neither","It depends on the variable","A"
"ATP Control Structures","ATP Algorithmic Thinking and Programming","high","","","If score is 7, the condition `score > 7` is:","False","True","Both","An error","A"
"ATP Control Structures","ATP Algorithmic Thinking and Programming","high","","","If x is 6, `x > 5 and x < 6` is:","False, because AND needs both sides true","True, because one side is true","True, because both sides are true","An error","A"
"ATP Control Structures","ATP Algorithmic Thinking and Programming","high","","","If x is 6, `x > 5 or x < 6` is:","True, because OR only needs one side true","False","An error","It depends on the order","A"
"ATP Control Structures","ATP Algorithmic Thinking and Programming","high","","","In an if / else if / else chain, the conditions are checked:","Top to bottom, stopping at the first true one","All at once","Bottom to top","In random order","A"
"ATP Control Structures","ATP Algorithmic Thinking and Programming","high","","","Given: if score < 20 blue, else if score < 40 yellow, else red. When score is exactly 20:","Yellow","Blue","Red","No color","A"
"ATP Variables and Data Representation","ATP Algorithmic Thinking and Programming","low","","","A variable is:","A named container holding a value that can change","A block that repeats","A picture in the game","A fixed number that never changes","A"
"ATP Variables and Data Representation","ATP Algorithmic Thinking and Programming","high","","","The difference between `set score to 5` and `change score by 5` is:","`set` replaces the value, `change` adds to what is there","They do the same thing","`set` adds and `change` replaces","`change` only works on sprites","A"
"ATP Variables and Data Representation","ATP Algorithmic Thinking and Programming","low","","","A variable used to count how many times something happened is called a:","Counter","Sprite","Condition","Loop","A"
"ATP Variables and Data Representation","ATP Algorithmic Thinking and Programming","high","","","A game tracks how many waves have spawned so it can make each one faster. That needs:","A variable that increases each wave","A new sprite each wave","A longer pause","A nested loop","A"
"ATP Algorithms","ATP Algorithmic Thinking and Programming","low","","","An `on overlap` block runs when:","Two sprites touch each other","A button is pressed","The game starts","The score changes","A"
"ATP Algorithms","ATP Algorithmic Thinking and Programming","high","","","In a shooter, a single shot destroys an entire column of enemies. The most likely cause is:","The projectile was not destroyed in the overlap, only the enemy","The projectile is moving too fast","The enemies are the wrong kind","The score block is missing","A"
"ATP Algorithms","ATP Algorithmic Thinking and Programming","high","","","If you forget the destroy block in an overlap that adds a point, the likely bug is:","The player scores over and over from the same object","The game will not start","The sprite never appears","The score stays at zero","A"
"ATP Algorithms","ATP Algorithmic Thinking and Programming","high","","","A projectile is set with vy of -100. It will travel:","Up","Down","Right","Left","A"
"ATP Algorithms","ATP Algorithmic Thinking and Programming","high","","","A game gets slower and slower the longer it runs. The most likely cause is:","Sprites are being created and never destroyed","The loops are nested too deeply","Too many variables","The pause is too short","A"
"ATP Algorithms","ATP Algorithmic Thinking and Programming","low","","","Ending the game with a win is done with:","game over WIN","destroy sprite","set score to 0","on start","A"
"ATP Program Development","ATP Algorithmic Thinking and Programming","low","","","Debugging means:","Finding and fixing the mistakes in your program","Deleting your program and starting over","Making the game run faster","Adding more sprites","A"
"ATP Program Development","ATP Algorithmic Thinking and Programming","high","","","A program runs with no error message but does the wrong thing. That is:","A logic error: it does what you told it, not what you meant","Not an error at all","A spelling error the editor will catch","A hardware problem","A"
"ATP Program Development","ATP Algorithmic Thinking and Programming","high","","","A player collects items and the game should end at 5, but it never does. The most likely cause is:","The number in the if does not match how many items were actually placed","The sprites are the wrong color","The game needs restarting","Variables cannot be counted","A"
"ATP Program Development","ATP Algorithmic Thinking and Programming","high","","","The best first step when a program does the wrong thing is:","Read the code in order and predict what each line should do, then compare","Delete it and start over","Add more blocks until it works","Restart the computer","A"
"ATP Program Development","ATP Algorithmic Thinking and Programming","high","","","Testing a game by playing it all the way to an ending matters because:","Some bugs only appear at a certain point, such as the win condition","It makes the game faster","It saves the file","It is required before sharing","A"
