"standard","outcome","dok","scenario_id","scenario","question","option_a","option_b","option_c","option_d","answer"
"7.6","Ohio Aviation and UAS","high","","","In the wind group 27012G22KT, the 270 is:","The direction the wind is blowing FROM, in degrees","The direction the wind is blowing toward","The wind speed","The temperature","A"
"7.6","Ohio Aviation and UAS","high","","","In the wind group 27012G22KT, the G22 means:","Gusting to 22 knots","A steady 22 knots","22 degrees of variation","Ground speed of 22","A"
"7.6","Ohio Aviation and UAS","high","","","Which number in 27012G22KT matters most when deciding whether to fly a small drone?","22, the gust, because the aircraft gets hit by the peak not the average","270, the direction","12, the steady speed","None of them, wind does not affect drones","A"
"7.6","Ohio Aviation and UAS","low","","","00000KT means the wind is:","Calm","From the north at zero","Variable","Missing from the report","A"
"7.6","Ohio Aviation and UAS","high","","","VRB05KT means:","Variable direction at 5 knots","From 5 degrees, variable speed","Very rapid buildup at 5 knots","Visibility reduced to 5 miles","A"
"7.6","Ohio Aviation and UAS","high","","","OVC007 means:","Overcast at 700 feet above the ground","Overcast at 7,000 feet","Overcast at 7 feet","Overcast, visibility 7 miles","A"
"7.6","Ohio Aviation and UAS","high","","","SCT045 means:","Scattered clouds at 4,500 feet","Scattered clouds at 45 feet","Scattered clouds at 450 feet","Scattered showers for 45 minutes","A"
"7.6","Ohio Aviation and UAS","high","","","To get a cloud layer's height from the three digits after the code, you:","Add two zeros","Add three zeros","Multiply by 10","Read it as written","A"
"7.6","Ohio Aviation and UAS","low","","","In a METAR, BKN stands for:","Broken","Blocked","Breaking storm","Below known ceiling","A"
"7.6","Ohio Aviation and UAS","high","","","A ceiling is:","The height of the lowest broken or overcast layer","The maximum altitude a drone may fly","The top of the highest cloud","The height of the tallest nearby obstacle","A"
"7.6","Ohio Aviation and UAS","high","","","Which of these sky conditions counts as a ceiling?","BKN012","FEW045","SCT120","CLR","A"
"7.6","Ohio Aviation and UAS","high","","","A METAR reads 24/13. This means:","24 C temperature, 13 C dew point","24 C temperature, 13 percent humidity","2,400 feet, 1,300 feet","24 knots of wind, 13 gusting","A"
