"standard","outcome","dok","scenario_id","scenario","question","option_a","option_b","option_c","option_d","answer"
"7.6","Ohio Aviation and UAS","high","","","In the wind group 27012G22KT, the 270 is:","The direction the wind is blowing FROM, in degrees","The direction the wind is blowing toward","The wind speed","The temperature","A"
"7.6","Ohio Aviation and UAS","high","","","In the wind group 27012G22KT, the G22 means:","Gusting to 22 knots","A steady 22 knots","22 degrees of variation","Ground speed of 22","A"
"7.6","Ohio Aviation and UAS","high","","","Which number in 27012G22KT matters most when deciding whether to fly a small drone?","22, the gust, because the aircraft gets hit by the peak not the average","270, the direction","12, the steady speed","None of them, wind does not affect drones","A"
"7.6","Ohio Aviation and UAS","high","","","OVC007 means:","Overcast at 700 feet above the ground","Overcast at 7,000 feet","Overcast at 7 feet","Overcast, visibility 7 miles","A"
"7.6","Ohio Aviation and UAS","high","","","A ceiling is:","The height of the lowest broken or overcast layer","The maximum altitude a drone may fly","The top of the highest cloud","The height of the tallest nearby obstacle","A"
"7.6","Ohio Aviation and UAS","high","","","A METAR reads 18/17. What should you expect?","Fog or mist, because the temperature and dew point are nearly the same","Clear skies, because the numbers are close","High winds","Rising temperature","A"
"7.6","Ohio Aviation and UAS","low","","","A TAF differs from a METAR because a TAF:","Forecasts what the weather is expected to do over a window of time","Reports what the weather is doing right now","Is only issued for drones","Uses different units","A"
"7.13","Ohio Aviation and UAS","high","","","Gusty wind is harder on a small drone than steady wind because:","The aircraft is repeatedly pushed off position and has to correct, which drains battery and ruins a steady shot","Gusts are always colder","Steady wind cannot affect an aircraft","Gusts interfere with the controller signal","A"
"2.1","Ohio Aviation and UAS","low","","","Personal minimums are:","Limits a pilot sets for themselves, stricter than the legal limits","The lowest altitude a drone may fly","The minimum crew size required","The FAA's absolute limits","A"
"2.1","Ohio Aviation and UAS","high","","","Personal minimums should be stricter than the Part 107 limits because:","The legal limit is the absolute edge of what is allowed, not a target, and a student flying near people should leave margin","Stricter limits are required by law","It makes the paperwork simpler","The FAA limits only apply to commercial pilots","A"
